id,title,budget,revenue,release_date,vote_average,overview,poster_url,genres,ROI,actor_1_name,actor_1_image_url,actor_2_name,actor_2_image_url,actor_3_name,actor_3_image_url
1038392,The Conjuring: Last Rites,55000000,489842530,2025-09-03,6.993,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,https://image.tmdb.org/t/p/w342/7JzOmJ1fIU43I3gLHYsY8UzNzjG.jpg,Horror,7.906227818181818,Vera Farmiga,https://image.tmdb.org/t/p/w185/5Vs7huBmTKftwlsc2BPAntyaQYj.jpg,Patrick Wilson,https://image.tmdb.org/t/p/w185/oym6H2QD9esk4yABjCHaUoNAOa8.jpg,Mia Tomlinson,https://image.tmdb.org/t/p/w185/9OoCftD6TAImFAUnvSC445toavW.jpg
1054867,One Battle After Another,130000000,190800000,2025-09-23,7.737,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",https://image.tmdb.org/t/p/w342/xXAfckL5iXiEQxrPOAFtAIvkOEx.jpg,"Action, Thriller, Crime",0.4676923076923077,Leonardo DiCaprio,https://image.tmdb.org/t/p/w185/wo2hJpn04vbtmh0B9utCFdsQhxM.jpg,Sean Penn,https://image.tmdb.org/t/p/w185/9glqNTVpFpdN1nFklKaHPUyCwR6.jpg,Chase Infiniti,https://image.tmdb.org/t/p/w185/2goENGgg9OCz7qjMmm0HNxV9Kjj.jpg
1125257,Freakier Friday,42000000,152889065,2025-08-06,6.996,"Years after Tess and Anna endured an identity crisis, Anna now has a daughter of her own and a soon-to-be stepdaughter. As they navigate the myriad challenges that come when two families merge, Tess and Anna discover lightning might indeed strike twice.",https://image.tmdb.org/t/p/w342/9wV65OmsjLAqBfDnYTkMPutXH8j.jpg,"Comedy, Fantasy, Family",2.6402158333333334,Lindsay Lohan,https://image.tmdb.org/t/p/w185/9orbe4F0T16K8P0hWqn6vd6czMj.jpg,Jamie Lee Curtis,https://image.tmdb.org/t/p/w185/eWKubKAAssRzmFwCZKh1mdYqGCH.jpg,Julia Butters,https://image.tmdb.org/t/p/w185/uWwwXvhcQDULR2zyi4Np5T10Viz.jpg
533533,TRON: Ares,180000000,126036926,2025-10-08,6.322,"A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings.",https://image.tmdb.org/t/p/w342/chpWmskl3aKm1aTZqUHRCtviwPy.jpg,"Science Fiction, Adventure, Action",-0.2997948555555556,Jared Leto,https://image.tmdb.org/t/p/w185/ca3x0OfIKbJppZh8S1Alx3GfUZO.jpg,Greta Lee,https://image.tmdb.org/t/p/w185/6SydTis4XUcovlwIGskT59JowLX.jpg,Evan Peters,https://image.tmdb.org/t/p/w185/n4yb5deDWPsvSQ9KLm0WR2Q2elC.jpg
1197137,Black Phone 2,30000000,104700000,2025-10-15,7.0,"Four years after escaping The Grabber, Finney Blake is struggling with his life after captivity. When his sister Gwen begins receiving calls in her dreams from the black phone and seeing disturbing visions of three boys being stalked at a winter camp, the siblings become determined to solve the mystery and confront a killer who has grown more powerful in death and more significant to them than either could imagine.",https://image.tmdb.org/t/p/w342/xUWUODKPIilQoFUzjHM6wKJkP3Y.jpg,"Horror, Thriller",2.49,Ethan Hawke,https://image.tmdb.org/t/p/w185/2LoTr6x0TEM7L5em4kSx1VmGDgG.jpg,Mason Thames,https://image.tmdb.org/t/p/w185/kPVWuKlDR0wkCSvv5iHLkaEQS0L.jpg,Madeleine McGraw,https://image.tmdb.org/t/p/w185/57eZDQuZr695X8pnAbPDVAZztCU.jpg
1289936,Downton Abbey: The Grand Finale,50000000,94292680,2025-09-10,7.325,"When Mary finds herself at the center of a public scandal and the family faces financial strife, the entire household grapples with the threat of social disgrace. The Crawleys must embrace change as the staff prepares for a new chapter with the next generation leading Downton Abbey into the future.",https://image.tmdb.org/t/p/w342/m1tLlMTCwc6oK6OjWTOI4b32wnA.jpg,"Drama, Romance",0.8858536,Michelle Dockery,https://image.tmdb.org/t/p/w185/pgPJGf2wAPgoC6Bp5PBJYQV7IVt.jpg,Hugh Bonneville,https://image.tmdb.org/t/p/w185/skbxj8MUuNiI39ZkP38uEirU0bC.jpg,Elizabeth McGovern,https://image.tmdb.org/t/p/w185/e69zJZNlRMDGaXuYaybnCPiJ8Cy.jpg
1280282,Gabby's Dollhouse: The Movie,32000000,67600000,2025-09-13,6.7,"Gabby heads out on a road trip with her Grandma Gigi to the urban wonderland of Cat Francisco. But when Gabby's dollhouse, her most prized possession, ends up in the hands of an eccentric cat lady named Vera, Gabby sets off on an adventure through the real world to get the Gabby Cats back together and save the dollhouse before it's too late.",https://image.tmdb.org/t/p/w342/t6LLguAmu6iZUN8pWhT7Q0IcaQ5.jpg,"Family, Comedy, Adventure, Animation",1.1125,Laila Lockhart Kraner,https://image.tmdb.org/t/p/w185/3hGsO4pNH9UfuPvmo2nHbWqCUVl.jpg,Gloria Estefan,https://image.tmdb.org/t/p/w185/alS75LDLaXopWcWxUVZ2Q70Mlm5.jpg,Kristen Wiig,https://image.tmdb.org/t/p/w185/N517EQh7j4mNl3BStMmjMN6hId.jpg
604079,The Long Walk,20000000,54054069,2025-09-10,6.972,"In a dystopian, alternate-America ruled by a totalitarian regime, 50 teenage boys take part in a deadly annual walking contest, forced to maintain a minimum pace or be executed, until only one survivor remains.",https://image.tmdb.org/t/p/w342/wobVTa99eW0ht6c1rNNzLkazPtR.jpg,"Thriller, Horror, Science Fiction",1.70270345,Cooper Hoffman,https://image.tmdb.org/t/p/w185/p8Hgy3RJW4r8PwD5SjIAahE2wZu.jpg,David Jonsson,https://image.tmdb.org/t/p/w185/2ZZNGZw57KKMrVIr27g7W16G0jV.jpg,Garrett Wareing,https://image.tmdb.org/t/p/w185/ghJmP5QlDsVSQEF8XlDSciZ4q6x.jpg
1267905,The Roses,30600000,51498093,2025-08-27,6.852,"Life seems easy for picture-perfect couple Ivy and Theo: successful careers, a loving marriage, great kids. But beneath the façade of their supposed ideal life, a storm is brewing – as Theo's career nosedives while Ivy's own ambitions take off, a tinderbox of fierce competition and hidden resentment ignites.",https://image.tmdb.org/t/p/w342/98n5HnCJ5LnXKIMNP9SBfVNyxCE.jpg,"Comedy, Drama, Romance",0.6829442156862745,Olivia Colman,https://image.tmdb.org/t/p/w185/lawJUdbLb1YW0niaYjiVGR9IBG8.jpg,Benedict Cumberbatch,https://image.tmdb.org/t/p/w185/wz3MRiMmoz6b5X3oSzMRC9nLxY1.jpg,Kate McKinnon,https://image.tmdb.org/t/p/w185/2cNetzianFcxPQbyOQnkAIkKUZE.jpg
1327862,Regretting You,30000000,50800000,2025-10-22,7.103,"Morgan Grant and her daughter Clara explore what's left behind after a devastating accident reveals a shocking betrayal and forces them to confront family secrets, redefine love, and rediscover each other.",https://image.tmdb.org/t/p/w342/z4gVnxTaks3anTycwKjDmvQSuWt.jpg,"Romance, Drama",0.6933333333333334,Mckenna Grace,https://image.tmdb.org/t/p/w185/sjnnfJyhUJ6t4yLJRrM8yApjVT.jpg,Allison Williams,https://image.tmdb.org/t/p/w185/5Jy9HELKS1OYg7moRl8870OSfJq.jpg,Dave Franco,https://image.tmdb.org/t/p/w185/2diSplvpzCE5CrIKvTaplCKvwPq.jpg
